i,j,idinspire,ind_2015,men_2015,men_pauv_2015,men_1ind_2015,men_5ind_2015,men_prop_2015,men_fmp_2015,ind_snv_2015,men_surf_2015,men_coll_2015,men_mais_2015,log_av45_2015,log_45_70_2015,log_70_90_2015,log_ap90_2015,log_inc_2015,log_soc_2015,ind_0_3_2015,ind_4_5_2015,ind_6_10_2015,ind_11_17_2015,ind_18_24_2015,ind_25_39_2015,ind_40_54_2015,ind_55_64_2015,ind_65_79_2015,ind_80p_2015,ind_inc_2015,ind_2017,men_2017,men_pauv_2017,men_1ind_2017,men_5ind_2017,men_prop_2017,men_fmp_2017,ind_snv_2017,men_surf_2017,men_coll_2017,men_mais_2017,log_av45_2017,log_45_70_2017,log_70_90_2017,log_ap90_2017,log_inc_2017,log_soc_2017,ind_0_3_2017,ind_4_5_2017,ind_6_10_2017,ind_11_17_2017,ind_18_24_2017,ind_25_39_2017,ind_40_54_2017,ind_55_64_2017,ind_65_79_2017,ind_80p_2017,ind_inc_2017
14254,17543,CRS3035RES200mN2850800E3508600,5,2.1,0.3,0.8,0.3,1.9,0,85237.7,200.6,0.1,2,1.7,0,0.3,0.1,0,0,0.2,0.1,0.4,0.5,0.1,1.1,0.5,0.7,0.8,0.6,0,5,1.8,0.7,0.4,0.4,1.6,0,69883.4,189.4,0,1.8,1.5,0,0.3,0,0,0,0.2,0,0.4,1,0.2,0.4,1.2,1,0.4,0.2,0
14264,18365,CRS3035RES200mN2852800E3673000,1,0.4,0,0.1,0,0.3,0,24857.8,38.4,0,0.4,0.1,0,0.1,0.2,0,0,0.1,0.1,0.1,0,0,0.3,0.1,0.1,0.1,0.1,0,1,0.4,0,0.2,0,0.4,0,24462.4,45,0,0.4,0.1,0,0.1,0.2,0,0,0,0,0.2,0.1,0,0.3,0.2,0.1,0.1,0,0
14268,16799,CRS3035RES200mN2853600E3359800,7,3,0.3,0.6,0.1,2.5,0.3,154941.2,325.4,0.3,2.7,0.6,0.3,1.5,0.6,0,0,0,0.3,0.2,0.6,0.4,0.5,0.9,2.2,1,0.7,0.2,7,3,0.2,0.5,0.2,2.4,0.3,157096.6,329.9,0.2,2.8,0.4,0.2,1.6,0.8,0,0,0.1,0.1,0.3,0.5,0.4,0.7,1.1,1.9,1.4,0.5,0
14366,16688,CRS3035RES200mN2873200E3337600,28,12,2,6,1,10,0,518133.8,1154,0,12,5,2,0,5,0,0,4,0,3.5,2.5,1,4,8,0,4,1,0,29,12,1,6,1,8,0,578716.2,1217,0,12,5,2,0,5,0,0,4,1,1,2,2,8,5,3,2,1,0
14453,20075,CRS3035RES200mN2890600E4015000,1,0.4,0,0.1,0,0.4,0,27106.6,59,0,0.4,0.3,0,0.1,0,0,0,0,0,0.1,0.1,0,0.2,0.2,0.2,0.2,0,0,1,0.4,0,0.1,0,0.3,0,25375.4,55.4,0,0.4,0.2,0,0.1,0.1,0,0,0.1,0,0,0.1,0,0.2,0.2,0.1,0.2,0.1,0
14785,19484,CRS3035RES200mN2957000E3896800,2,1.1,0.2,0.4,0,1,0,46606.8,134,0,1.1,0.8,0.1,0.2,0,0,0,0,0,0.1,0.1,0,0.2,0.3,0.5,0.6,0.2,0,2,0.9,0.1,0.3,0.1,0.7,0,44696.3,103.8,0,0.9,0.6,0.1,0.2,0,0,0,0.1,0,0.1,0.1,0,0.4,0.1,0.6,0.3,0.3,0
14016,20756,CRS3035RES200mN2803200E4151200,73,30,1,4,1,26,4,2027997.4,3192,2,28,0,0,29,1,0,0,1,1,3,4,3,11,14,23,12,1,0,75.5,29,1,3,1,25,2,2178702.5,3200,2,27,0,0,28,1,0,0,0,1,3.5,4,4,11,13,23,16,0,0
14074,18586,CRS3035RES200mN2814800E3717200,14,7.1,0.6,3.1,0.6,6.1,0.2,306916,648.6,0.2,6.9,4.2,0.4,0.8,1.7,0,0,0,0.2,0.6,0.6,1.3,2.1,2.5,2.3,2.3,1.9,0.2,14,6.6,0.8,2.8,0.8,5.4,0.6,305771.3,612.4,0,6.6,3.6,0.6,0.8,1.6,0,0,0.4,0.2,0.8,0.8,1.6,2.4,2.8,1.4,2.4,1.2,0
14088,17064,CRS3035RES200mN2817600E3412800,2,0.9,0.1,0.3,0.1,0.8,0.1,41279.4,80.6,0,0.9,0.3,0.1,0.4,0.1,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0.6,0.5,0.1,0.1,0,1,0.4,0,0.1,0,0.3,0.1,22014,41.1,0,0.4,0.3,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0,0
14131,18894,CRS3035RES200mN2826200E3778800,2,1,0.2,0.3,0,0.8,0,52836.9,105.2,0,1,0.2,0.2,0.4,0.2,0,0,0,0,0,0.2,0,0.3,0.5,0.7,0.2,0,0.1,2,0.8,0.1,0.1,0,0.7,0.1,48950.7,71.2,0,0.8,0.1,0.1,0.4,0.2,0,0,0,0,0,0.2,0.2,0.3,0.4,0.6,0.3,0,0
